window_id,t_start_s,t_end_s,n_samples,rms_x,rms_y,rms_z,std_x,std_y,std_z,ptp_x,ptp_y,ptp_z,norm_rms,norm_mean_abs,jerk_rms,motion_threshold,is_motion
200,49.749237,50.739236,100,4.52214790508942,4.58087284391005,6.41762515112555,4.51779869521707,4.58878738851232,6.44995497596062,29,33,52,9.08956161032734,7.39192131845367,1303.60399710936,10.5746734583437,0
201,49.999237,50.989237,100,4.90311206452616,4.50607660192354,6.28896847335908,4.87537618336195,4.45288466257344,6.31121336522655,28,33,52,9.15949554935255,7.68432793906027,1302.99008272697,10.5746734583437,0
202,50.249237,51.239237,100,5.18039547138614,5.28494360534137,5.98971173327732,5.17222574835237,5.21725962357615,6.0010436802714,30,45,42,9.5207023270007,7.78160291297521,1336.66413630346,10.5746734583437,0
203,50.499237,51.489236,100,4.88731122378764,5.0965245850062,5.48786357772858,4.89757722004081,5.04143437982293,5.49493798275681,30,35,42,8.94298722416024,7.21726136345583,1243.81503568744,10.5746734583437,0
204,50.749237,51.739237,100,5.02106702594372,5.43945548365696,5.02078795071965,5.04625073343036,5.43333333333333,5.03623235798711,30,35,36,8.94466889738221,7.32898779901924,1280.30886517843,10.5746734583437,0
205,50.999237,51.989237,100,4.70380246305482,5.37768330793917,5.60870551720189,4.72200950204187,5.39449775795727,5.63476761371807,30,36,39,9.0831059088078,7.44834612184927,1331.47555512328,10.5746734583437,0
206,51.249237,52.239237,100,5.10905273306255,4.6810537147036,5.27260755144015,5.12725929506085,4.70069842220979,5.29764575118519,40,33,39,8.70718519963014,7.20039112162201,1278.84677571805,10.5746734583437,0
207,51.499237,52.489237,100,5.3937377098385,4.54667613536971,5.99076310473237,5.40392674288098,4.56552739604532,6.01253740617104,40,33,41,9.25493992090154,7.67909641483237,1356.46422554137,10.5746734583437,0
208,51.749237,52.739237,100,5.85307063388354,4.33897356998574,6.55773008173844,5.88175573320165,4.33501133012628,6.57029587452406,45,24,56,9.80249719771457,7.91927470459851,1376.82877620527,10.5746734583437,0
209,51.999236,52.989237,100,5.78144544293927,4.37700427794814,6.2576098484534,5.8105703052908,4.38402748277163,6.28501504703164,45,24,56,9.57815007578816,7.71089582271452,1346.33472674414,10.5746734583437,0
210,52.249237,53.239237,100,5.04371973253344,4.20929484741879,7.08531097643181,5.06905844663025,4.22312058491673,7.05444912982243,40,24,59,9.66224112127196,7.72015795208709,1367.29654503434,10.5746734583437,0
211,52.499238,53.489237,100,5.29935588580455,4.22783114282403,7.09216601751061,5.28026629264208,4.23705396031562,7.05719061623954,31,24,59,9.81104213611258,7.66868174102504,1380.48693914663,10.5746734583437,0
212,52.749237,53.739237,100,5.15265190707704,4.0909090864029,6.08893053632479,5.15481534219425,4.03243165478413,6.10662002099427,37,24,53,8.96439813400247,7.26816077437704,1262.94350233792,10.5746734583437,0
213,52.999237,53.989237,100,6.45061763533245,4.79146739275521,5.90405690089461,6.47770847373568,4.73767406599014,5.92235961710731,47,35,54,9.97128454824651,7.83017870219651,1411.99031705323,10.5746734583437,0
214,53.249237,54.239237,100,6.46975962795161,4.82161759983165,5.72358798836645,6.50097117841837,4.78232224558384,5.73011713878892,47,35,49,9.89268645935226,7.88641819644445,1422.67939276474,10.5746734583437,0
215,53.499237,54.489237,100,6.21056471498521,4.87756280345306,6.49193257227526,6.24176224792293,4.82915179619642,6.50575502803852,47,35,59,10.2228626863329,7.94232020379742,1456.30179414725,10.5746734583437,0
216,53.749237,54.739236,100,6.40123615755899,4.50185350357994,6.33471561764236,6.41194434653252,4.46155292980533,6.36577813885556,47,35,59,10.0683231607323,7.70998056090907,1433.65583623128,10.5746734583437,0
217,53.999237,54.989237,100,5.11206541863965,3.93847727164698,6.40337436078171,5.00766079788424,3.89374011988629,6.43490324697892,33,21,59,9.0910956032839,7.23817265776748,1277.03683396902,10.5746734583437,0
218,54.249237,55.239237,100,5.71657142179011,4.83973980334597,5.6835997959996,5.67792108775632,4.85960467278539,5.70978249687465,42,33,59,9.40242398669648,7.48870494361695,1309.80243305333,10.5746734583437,0
219,54.499237,55.489237,100,5.65165292745577,5.03920382513465,5.2004889276104,5.62529460507975,5.06198946795994,5.19590942448719,42,35,36,9.18585004721226,7.73182983474578,1306.40051749912,10.5746734583437,0
